ID_t,Nb_of_incident,Electrical_length,Service_date,Length_climate_hazard_plan,Length_fragile_section,Nb_of_anomaly,Year_helicopter_flight,y_pred
14400,0.0,190.0,47,0.145,0.646,0.0,1,0
69789,0.0,980.0,35,0.0,1.52,0.0,2,0
84276,1.0,38.0,14,2.669,2.93194799805,19.0,3,0
73925,1.0,124.8058395385742,31,2.667,3.09965712357,16.0,3,0
33436,1.0,417.0,51,5.716,19.743,0.0,1,1
26865,1.0,286.0,47,7.870000000000001,1.846,0.0,5,1
32889,0.0,48.0,33,1.426,1.744,0.0,1,0
61218,0.0,248.0,35,4.53,3.21236126709,0.0,5,0
15615,0.0,467.0,38,2.156,0.0,0.0,1,0
32238,1.0,111.0,35,0.515,2.393,0.0,5,1
19961,1.0,168.0,48,0.402,0.243,0.0,2,1
82207,1.0,1107.0,41,3.221,9.10500000381,0.0,1,1
86134,0.0,477.0,32,0.176,0.542,7.0,3,0
17340,0.0,601.0,36,0.55600000763,1.893,3.0,3,0
35945,0.0,740.0,46,3.88890362548,3.02299839782,2.0,3,0
23733,1.0,251.0,48,26.59043477249,6.87700001526,0.0,1,1
14782,1.0,199.0,49,0.212,2.70060400391,4.0,3,1
10615,2.0,79.0,40,1.482,3.03796879578,0.0,2,1
56272,0.0,192.0,32,7.229999999999999,8.62758076119,0.0,5,0
70216,0.0,32.0,15,2.105,0.634,0.0,2,0
84212,0.0,231.0,15,1.394,1.995,0.0,1,0
24732,0.0,129.0,44,7.508,0.105,9.0,3,0
69112,6.0,460.0,34,5.456,6.7788223877,9.0,3,1
49061,2.0,176.0,49,1.898,3.0060974884,0.0,5,1
19582,0.0,8.0,70,0.062,0.284,0.0,2,1
87298,0.0,200.1267700195312,9,1.285,3.16443115234,0.0,2,0
37494,0.0,48.0,43,6.857,25.18310520697,4.0,3,0
18631,2.0,1.297160148620605,21,0.843,3.54999999237,0.0,2,1
25097,3.0,118.0,44,18.99566395187,5.63500001144,0.0,1,1
10436,1.0,216.0,24,3.940000000000001,4.56918841171,0.0,1,0
39758,1.0,500.0,39,18.61899997711,15.32499997711,0.0,1,1
52379,0.0,171.0,35,2.04,0.813,7.0,3,0
192,0.0,24.0,47,0.13,1.15,0.0,1,0
61155,1.0,260.0,44,2.174,10.211,8.0,3,0
41492,0.0,1236.375244140625,39,3.345000000000001,2.529,0.0,5,0
84649,1.0,110.0,37,1.45,1.219,0.0,2,1
82836,0.0,425.5548095703125,48,0.694,2.20699999416,0.0,3,1
11437,0.0,344.0,40,0.0,0.128,0.0,3,0
63199,1.0,202.0,33,1.545,1.259,0.0,1,0
7073,0.0,170.0,68,0.482,0.0,7.0,3,0
87717,0.0,70.63890075683594,39,2.77570129395,1.03570129395,0.0,1,0
76123,1.0,320.0,34,1.883,2.667,0.0,2,0
55756,0.0,314.0,48,5.533318084719999,0.0,9.0,3,0
45462,0.0,118.0,34,2.862,0.083,0.0,5,0
52701,1.0,21.0,64,2.194,2.054,0.0,1,1
27647,1.0,256.0,45,12.73959048462,2.113,0.0,5,1
39989,0.0,297.0,36,1.027,36.41292321014,7.0,3,0
22979,1.0,79.0,40,5.125999999999999,3.997,0.0,1,1
63487,1.0,330.0,34,0.955,1.354,7.0,3,0
20441,0.0,224.0,49,0.205,8.999500018,0.0,1,1
13978,3.0,20.0,36,1.795,0.0,0.0,1,1
20375,1.0,206.0,44,5.14657135928,1.62000000155,0.0,1,1
20893,1.0,78.0,39,0.9789999999999999,2.273,2.0,3,0
61937,1.0,67.0,37,0.955,1.354,7.0,3,0
35709,1.0,99.0,41,0.155,9.162,0.0,1,1
39991,0.0,471.0,47,1.027,36.41292321014,7.0,3,0
79831,0.0,143.0,34,2.121,6.305,12.0,3,0
40671,0.0,89.0,50,2.596,7.77497135735,5.0,3,0
12603,1.0,281.5065612792969,17,0.865,0.0,0.0,2,0
60280,0.0,245.0,42,1.394,1.995,0.0,1,0
28245,1.0,407.0,31,2.872,0.591,0.0,5,0
3951,1.0,334.0,31,0.7210000000000003,1.434,4.0,3,0
92746,2.0,151.4584350585938,38,2.753000000000001,5.734117522719999,7.0,3,0
81124,0.0,204.0528564453125,34,4.416,1.04056793213,0.0,1,0
83150,0.0,165.0,35,1.653,2.349,0.0,1,0
81863,1.0,153.0,24,2.435999999999999,5.70584044272,12.0,3,0
64910,5.0,346.0,37,6.236000000000001,10.22074494623,0.0,2,1
43728,1.0,66.0,52,1.819,1.541,0.0,5,1
53968,1.0,372.0,34,1.545,1.259,0.0,1,0
59636,0.0,72.0,47,1.133,0.13367912292,0.0,5,1
12741,1.0,61.0,37,0.0,0.85106185532,2.0,3,0
64866,0.0,8.770792007446289,35,4.026,0.05,0.0,1,0
47455,1.0,393.9345092773438,36,1.795,0.0,0.0,5,1
74762,0.0,441.0,33,0.017,3.30641824448,14.0,3,0
50458,1.0,696.0,34,1.545,1.259,0.0,1,0
42975,0.0,689.0,40,4.418999999999998,4.079,6.0,3,0
86480,0.0,575.0,11,0.092,5.02229810333,0.0,1,0
66011,1.0,42.0,24,1.71,11.009,0.0,1,0
80245,1.0,385.0,35,1.71,11.009,0.0,1,1
30188,0.0,287.0,39,9.03999998474,0.351,9.0,3,0
26042,1.0,740.0,38,2.065999999999999,4.121,0.0,5,1
77585,2.0,196.0,40,2.753000000000001,5.734117522719999,7.0,3,1
84673,0.0,187.1994018554688,39,4.09719940186,5.38219940949,0.0,5,0
5112,0.0,89.0,50,2.207,0.657,0.0,1,0
58520,1.0,242.0,43,1.794,0.549,0.0,1,1
89834,0.0,228.0,42,0.0,0.0,3.0,3,0
42805,1.0,509.0,31,0.146,1.49,0.0,1,0
24646,2.0,239.0,45,17.81711397171,3.264,0.0,1,1
14343,0.0,370.0,47,0.0,0.0,0.0,1,0
24273,0.0,422.0,38,3.129,0.077,0.0,1,0
84416,0.0,33.708251953125,31,0.113,0.0,0.0,1,0
76554,0.0,29.0,36,0.673,3.53500831604,5.0,3,0
55210,3.0,396.0,43,4.865,0.0,7.0,3,1
76436,0.0,574.0,46,3.00427206945,9.7012720865,12.0,3,0
21450,1.0,12.98451614379883,35,0.8,3.789,0.0,2,1
88325,1.0,181.0699157714844,40,1.966,1.331,6.0,3,0
6127,0.0,176.0,51,0.091,0.0,0.0,3,1
55672,1.0,415.0,32,1.145,2.31214941406,5.0,3,0
44457,1.0,798.0,34,1.538999999999999,3.095,0.0,1,0
66279,1.0,220.0,39,6.514,4.56300000048,6.0,2,0
85940,2.0,157.0,34,7.984,3.613,12.0,3,0
34918,0.0,178.0,45,4.186,6.23029761887,1.0,5,1
16661,0.0,61.0,34,0.602,1.107,7.0,3,0
19637,0.0,45.0,44,3.00421168184,1.29621168184,0.0,2,0
91432,2.0,162.4317169189453,12,1.038,4.044,13.0,3,0
41467,2.0,86.0,45,1.00277078247,0.94777078247,0.0,1,1
15913,0.0,481.0,37,0.0,0.0,0.0,2,0
75865,2.0,91.0,36,0.939,2.564,0.0,1,1
89584,0.0,53.71591567993164,39,2.358,4.84443856812,0.0,2,0
1002,1.0,99.0,49,1.15,4.96799999523,4.0,3,1
44511,0.0,500.0,23,0.857,0.875,0.0,5,0
74154,2.0,14.0,41,1.103,4.66,0.0,2,1
83310,2.0,348.0,36,1.103,4.66,0.0,2,1
67040,2.0,63.0,42,4.069000000000001,4.33844250274,0.0,2,1
63510,1.0,227.0,45,0.955,1.354,7.0,3,0
85807,0.0,610.52978515625,43,4.637,0.734,8.0,3,0
37324,2.0,167.0,21,0.7329999999999998,7.163025794970001,15.0,3,0
86794,0.0,243.0,30,0.0,1.52252331543,0.0,1,0
31750,0.0,102.0,44,16.2331756897,11.66899999619,0.0,5,1
67589,4.0,189.1710205078125,37,2.125,3.91014031982,12.0,3,1
5903,2.0,306.0,34,0.002,1.13600000369,0.0,5,1
90584,2.0,716.0,66,0.525,0.0,0.0,1,1
4594,1.0,80.0,24,0.68,0.432,2.0,3,0
31094,0.0,1356.0,32,5.648999999999999,21.04199996948,10.0,3,0
74456,2.0,85.0,38,3.467000000000001,8.88228168917,0.0,2,1
15513,1.0,83.0,35,6.355,0.226,4.0,3,0
79519,2.0,120.0,38,3.467000000000001,8.88228168917,0.0,2,1
11821,0.0,68.0,32,0.741,0.0,0.0,1,0
8169,0.0,117.0,43,3.304,1.48999999547,0.0,2,0
81342,0.0,80.0,50,1.56445542908,1.67441933728,5.0,3,0
9467,0.0,678.0,41,0.118,0.932,0.0,2,0
20170,0.0,26.0,49,0.319,4.30499998712,0.0,1,1
65517,6.0,60.0,34,5.456,6.7788223877,9.0,3,1
80832,0.0,78.0,56,0.9479999999999998,0.717,3.0,3,0
60510,1.0,490.0,41,4.699,0.242,4.0,3,0
36618,0.0,197.0,38,5.29247964478,4.33200000763,0.0,5,0
171,0.0,372.2732849121094,34,0.0,2.05439041138,0.0,2,0
85428,1.0,407.0,12,3.940000000000001,4.56918841171,0.0,1,0
92744,1.0,165.1648559570312,39,6.92,7.743408222190001,0.0,3,1
37333,0.0,235.0,60,1.394,1.52,1.0,3,1
6432,2.0,40.0,48,0.636,5.111999984750001,0.0,2,1
75800,2.0,455.0,16,0.939,2.564,0.0,1,0
73655,4.0,100.0,39,11.146,6.743881523900001,0.0,1,1
68950,3.0,13.0,48,0.572,3.257,0.0,1,1
92565,0.0,156.3540344238281,61,0.205,8.999500018,0.0,1,1
12414,3.0,197.0,39,4.143,1.08800000763,0.0,1,1
28846,0.0,68.0,32,2.93399821472,0.0,2.0,5,0
58634,0.0,253.0,23,0.0,0.0,0.0,5,0
